angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"[565, 197, 211, 267]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[560, 195, 216, 274]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[554, 197, 218, 275]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[549, 199, 216, 271]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[543, 199, 221, 275]",0.0,0.0,0.99,0.01,0.0,0.0
0.01,"[542, 193, 214, 268]",0.01,0.01,0.67,0.3,0.01,0.0
0.04,"[535, 194, 217, 268]",0.01,0.04,0.15,0.71,0.05,0.01
0.29,"[516, 194, 224, 275]",0.01,0.17,0.02,0.32,0.13,0.06
0.09,"[516, 200, 212, 256]",0.09,0.05,0.01,0.59,0.15,0.01
0.04,"[506, 198, 213, 256]",0.0,0.04,0.0,0.81,0.08,0.02
0.09,"[499, 194, 218, 261]",0.0,0.04,0.01,0.73,0.08,0.06
0.04,"[497, 194, 216, 262]",0.0,0.03,0.0,0.74,0.06,0.13
0.08,"[497, 188, 213, 269]",0.0,0.06,0.01,0.64,0.15,0.05
0.05,"[497, 187, 208, 264]",0.0,0.02,0.02,0.74,0.15,0.02
0.04,"[503, 191, 207, 265]",0.0,0.02,0.02,0.81,0.09,0.02
0.03,"[503, 194, 202, 261]",0.0,0.01,0.01,0.85,0.07,0.03
0.03,"[500, 190, 206, 265]",0.0,0.01,0.01,0.83,0.08,0.03
0.04,"[500, 194, 203, 259]",0.0,0.02,0.01,0.84,0.06,0.04
